customer_id,age,gender,region,membership_tier,signup_date
CUST00001,43,Male,North,Bronze,2020-08-17 00:47:00
CUST00002,36,Female,North,Bronze,2021-07-18 07:14:00
CUST00003,45,Female,North,Gold,2020-10-13 23:06:00
CUST00004,56,Male,West,Silver,2020-06-28 18:27:00
CUST00005,35,Male,South,Bronze,2020-03-07 00:05:00
CUST00006,35,Male,West,Bronze,2021-03-24 07:32:00
CUST00007,56,Male,North,Bronze,2020-02-25 17:12:00
CUST00008,47,Female,East,Silver,2022-05-10 07:28:00
CUST00009,32,Female,North,Silver,2021-07-24 00:48:00
CUST00010,44,Female,East,Silver,2020-11-23 22:27:00
CUST00011,32,Female,Central,Bronze,2021-11-28 08:09:00
CUST00012,32,Male,East,Bronze,2021-03-17 10:06:00
CUST00013,40,Female,North,Gold,2020-07-09 12:06:00
CUST00014,18,Female,West,Gold,2022-01-06 11:38:00
CUST00015,18,Female,North,Platinum,2021-06-26 01:46:00
CUST00016,31,Male,North,Bronze,2022-07-30 17:07:00
CUST00017,25,Female,Central,Gold,2022-02-15 02:35:00
CUST00018,41,Female,South,Gold,2021-08-24 20:39:00
CUST00019,27,Female,North,Platinum,2022-01-11 18:12:00
CUST00020,21,Male,Central,Bronze,2020-05-23 01:42:00
CUST00021,55,Female,West,Gold,2021-04-12 09:05:00
CUST00022,35,Female,Central,Bronze,2021-04-22 03:24:00
CUST00023,38,Female,Central,Silver,2021-07-24 14:40:00
CUST00024,20,Female,East,Bronze,2022-01-18 05:23:00
CUST00025,31,Female,South,Gold,2021-12-29 06:42:00
CUST00026,39,Male,South,Gold,2021-07-01 22:59:00
CUST00027,24,Female,West,Bronze,2020-05-27 19:40:00
CUST00028,42,Female,Central,Silver,2020-12-17 17:46:00
CUST00029,30,Female,West,Bronze,2021-05-17 05:29:00
CUST00030,34,Male,West,Silver,2022-02-17 08:59:00
CUST00031,30,Female,South,Bronze,2021-03-26 21:20:00
CUST00032,60,Female,South,Bronze,2020-04-25 07:52:00
CUST00033,37,Female,South,Gold,2020-03-07 10:25:00
CUST00034,25,Female,North,Bronze,2021-07-03 02:13:00
CUST00035,47,Female,Central,Silver,2021-10-07 06:41:00
CUST00036,23,Female,West,Gold,2022-10-20 12:56:00
CUST00037,40,Male,Central,Platinum,2022-07-29 04:16:00
CUST00038,18,Male,West,Gold,2020-10-13 07:47:00
CUST00039,22,Male,West,Bronze,2021-06-23 23:37:00
CUST00040,40,Male,West,Gold,2022-05-28 18:25:00
CUST00041,46,Female,West,Bronze,2022-01-12 07:08:00
CUST00042,40,Female,East,Platinum,2022-11-10 15:05:00
CUST00043,36,Female,East,Gold,2020-04-07 03:09:00
CUST00044,34,Male,North,Gold,2020-11-24 21:27:00
CUST00045,20,Male,South,Bronze,2020-05-11 12:24:00
CUST00046,29,Female,West,Silver,2022-08-17 16:16:00
CUST00047,32,Female,Central,Gold,2020-01-25 21:46:00
CUST00048,50,Male,East,Gold,2020-08-23 21:56:00
CUST00049,42,Female,South,Bronze,2021-07-01 20:21:00
CUST00050,18,Female,North,Platinum,2020-08-17 09:27:00
CUST00051,41,Male,South,Bronze,2020-11-20 14:00:00
CUST00052,33,Female,West,Silver,2021-06-24 16:48:00
CUST00053,29,Male,South,Silver,2021-01-01 16:58:00
CUST00054,45,Female,West,Bronze,2020-08-06 20:19:00
CUST00055,50,Female,East,Bronze,2022-11-06 19:12:00
CUST00056,49,Male,East,Gold,2020-11-10 11:48:00
CUST00057,27,Female,West,Bronze,2020-11-27 17:49:00
CUST00058,34,Male,Central,Bronze,2022-12-23 00:38:00
CUST00059,41,Female,East,Gold,2021-10-26 15:01:00
CUST00060,49,Male,Central,Gold,2020-08-18 11:56:00
CUST00061,32,Male,West,Silver,2021-09-22 07:03:00
CUST00062,35,Male,West,Bronze,2021-05-09 18:05:00
CUST00063,24,Female,East,Bronze,2020-06-25 23:31:00
CUST00064,23,Female,Central,Gold,2020-05-22 17:49:00
CUST00065,47,Male,West,Silver,2020-09-15 04:42:00
CUST00066,54,Female,East,Silver,2022-09-01 17:10:00
CUST00067,37,Female,West,Gold,2021-06-27 16:55:00
CUST00068,50,Female,South,Silver,2022-05-17 06:59:00
CUST00069,42,Female,South,Bronze,2021-02-16 22:19:00
CUST00070,30,Female,East,Platinum,2022-03-29 21:41:00
CUST00071,42,Female,West,Silver,2022-02-04 14:57:00
CUST00072,56,Male,East,Silver,2022-11-26 14:07:00
CUST00073,37,Male,North,Platinum,2021-05-23 07:04:00
CUST00074,56,Male,East,Platinum,2021-11-24 00:37:00
CUST00075,18,Male,East,Silver,2021-04-17 18:14:00
CUST00076,47,Female,South,Bronze,2020-01-16 02:45:00
CUST00077,39,Male,South,Platinum,2020-05-01 07:04:00
CUST00078,34,Male,West,Silver,2020-03-06 10:04:00
CUST00079,39,Female,East,Silver,2022-11-19 07:17:00
CUST00080,18,Male,East,Silver,2022-09-22 06:34:00
CUST00081,35,Male,West,Silver,2020-09-28 23:59:00
CUST00082,42,Male,Central,Gold,2022-08-27 07:50:00
CUST00083,55,Female,West,Silver,2022-08-27 13:12:00
CUST00084,31,Male,South,Gold,2020-07-13 03:42:00
CUST00085,28,Male,South,Gold,2022-06-02 11:27:00
CUST00086,31,Female,East,Gold,2022-04-22 14:55:00
CUST00087,48,Female,South,Gold,2020-04-21 21:41:00
CUST00088,41,Female,West,Gold,2020-07-21 01:25:00
CUST00089,31,Female,East,Bronze,2021-11-26 03:15:00
CUST00090,44,Male,West,Bronze,2021-01-28 06:34:00
CUST00091,39,Male,West,Gold,2022-07-08 04:27:00
CUST00092,49,Male,East,Silver,2021-01-11 08:29:00
CUST00093,29,Male,Central,Bronze,2021-05-27 02:28:00
CUST00094,34,Male,South,Bronze,2020-07-20 01:41:00
CUST00095,33,Male,North,Bronze,2020-02-01 02:59:00
CUST00096,20,Female,North,Gold,2021-04-30 05:26:00
CUST00097,41,Female,North,Gold,2022-09-22 15:13:00
CUST00098,41,Male,South,Bronze,2022-04-02 01:10:00
CUST00099,38,Female,Central,Gold,2022-02-16 00:24:00
CUST00100,35,Male,West,Bronze,2021-06-28 14:18:00
CUST00101,21,Male,East,Gold,2022-05-17 22:46:00
